Ipv,Vpv,Vdc,ia,ib,ic,va,vb,vc,Iabc,If,Vabc,Vf
1.519348145,101.6357422,143.5546875,0.475829102,-0.127563477,-0.348271484,-149.619751,42.82943726,112.3233032,0.510123915,50.13576967,155.8841399,50.00013303
2.147521973,92.21191406,148.2421875,-0.18884375,0.684814453,-0.455693359,15.12832642,-140.1811218,129.9268087,0.712703522,50.182075,155.6768962,50.00280437
2.361328125,85.13793945,149.1210938,0.50268457,0.181274414,-0.704106445,-110.141449,-32.75192261,152.1270752,0.744161578,50.12762379,155.8922359,50.01446907
2.178741455,91.40625,147.3632813,0.657103516,-0.449829102,-0.173710938,-145.4368591,120.6047058,24.12495931,0.714933906,49.75767421,155.1766451,50.01378747
2.319702148,87.24365234,148.5351563,0.764525391,-0.496826172,-0.328129883,-154.9719238,82.78991699,76.39704386,0.732174294,50.18175395,156.2025292,50.0061563
2.322540283,85.9375,142.3828125,0.62353418,-0.221557617,-0.542973633,-141.2298584,15.7069397,129.4365946,0.434866646,49.98875306,155.6911325,50.00025067
2.299835205,87.65258789,148.828125,0.744383789,-0.402832031,-0.388554688,-154.9598694,67.32406616,89.86587524,0.711981474,49.98471194,155.9988126,49.99721125
2.296051025,88.93432617,147.3632813,0.643675781,-0.033569336,-0.583256836,-145.9069824,32.17330933,117.6875305,0.712495731,49.97302683,155.2917214,50.00245137
2.24307251,87.86621094,148.5351563,0.630248047,-0.04699707,-0.563115234,-142.2303772,28.90655518,122.7463786,0.741122458,50.11196557,155.6670373,50.00354612
1.495697021,101.7883301,143.8476563,-0.497681641,0.107421875,0.390253906,136.4683533,-6.858978271,-130.9996541,0.458090959,49.95372873,154.8481852,49.99378203
2.217529297,90.58227539,147.65625,-0.276124023,-0.436401367,0.605097656,59.98291016,91.6619873,-154.7147624,0.704127934,50.05467924,155.0720387,49.98782878
1.529754639,100.8178711,143.8476563,-0.558106445,0.181274414,0.329829102,152.3681641,-53.56994629,-100.6666565,0.519546764,50.04216072,155.0260257,49.99186004
1.581787109,101.2512207,141.796875,-0.054566406,-0.396118164,0.430537109,9.800262451,128.7173462,-139.3413289,0.46056501,49.8765771,154.7664086,49.99466513
1.541107178,101.8981934,142.6757813,0.422118164,-0.134277344,-0.321416016,-152.3561096,51.12289429,101.0805257,0.459952034,50.29543777,154.8811801,50.00693405
1.521240234,101.3671875,141.796875,-0.477540039,0.322265625,0.128413086,152.8382874,-100.7872009,-51.73365275,0.468762388,50.14356132,155.2174592,50.00388617
1.44744873,101.184082,142.96875,0.106566406,-0.463256836,0.316401367,-35.41595459,148.0767822,-112.7934265,0.459109153,50.14006304,154.7881586,50.00647545
2.193878174,90.48461914,146.1914063,-0.45068457,-0.208129883,0.591669922,109.9606323,38.64654541,-149.3264262,0.669946143,50.05749613,155.1480045,50.00685186
2.246856689,90.07568359,148.5351563,0.469115234,0.21484375,-0.744389648,-93.00003052,-55.41427612,154.433492,0.725228515,49.90674483,155.6223055,49.99004825
2.191986084,89.94140625,148.2421875,0.596678711,-0.537109375,-0.126713867,-140.0244141,127.2225952,13.25586955,0.713120547,49.90426294,155.0498392,49.99899091
